Issue Number,Title,State,Created At,Updated At,Assignee,Labels
5129,incorrect bar chart label shown in documentation,open,2025-04-05T10:51:56Z,2025-04-08T13:06:28Z,LiamConnors,"bug, P1, documentation"
5124,plotly.io.to_json method does not convert large numbers correctly,open,2025-04-03T14:22:24Z,2025-04-08T13:04:53Z,marthacryan,"bug, P1, regression"
5120,`vline` and `hline` visibility not updated by custom buttons,open,2025-03-30T23:13:57Z,2025-03-31T14:57:36Z,LiamConnors,"bug, P2, documentation"
5119,Unable to access customdata using clickData [plotly>=6.0.0],open,2025-03-30T20:00:37Z,2025-03-31T14:56:05Z,,"bug, P1, regression"
5118,Plotly FigureWidget Display Problem in Sphinx,open,2025-03-28T11:59:39Z,2025-03-31T14:55:29Z,marthacryan,"bug, P3"
5116,API reference docs for `layout.Legend` out of sync with `layout` docs,closed,2025-03-27T21:01:50Z,2025-04-07T21:34:26Z,LiamConnors,"bug, P1, documentation"
5115,Legend group title are shifted to the right when written in LaTeX,open,2025-03-27T17:06:59Z,2025-03-31T14:53:27Z,,"bug, P3"
5113,plotly/package_data/widgetbundle.js has not been included in the release,open,2025-03-26T09:58:26Z,2025-04-01T13:12:50Z,emilykl,"bug, P1, infrastructure, regression"
5107,View jumps when zooming line graph,open,2025-03-22T10:44:49Z,2025-03-24T18:46:35Z,,"bug, P2"
5106,"When calling update_layout() on a figure, xaxis_range does not update correctly when margin_b is specified",open,2025-03-21T20:59:38Z,2025-03-24T15:02:38Z,,"bug, P1, regression"
5105,Incorrect fill in graph objects when connectgaps is set to false,open,2025-03-21T12:30:47Z,2025-03-31T13:29:07Z,,"bug, P2"
5101,Plotly Express not displaying datetime,open,2025-03-19T22:49:42Z,2025-04-04T09:40:42Z,,"bug, P1, regression"
5100,Grouped Stacked Bar Chart - offsetgroup not being respected,open,2025-03-19T02:03:10Z,2025-03-19T18:55:33Z,,"bug, P2"
5099,"y-axis values are displayed in ascending order in scatter plots, version 6.0.1",open,2025-03-18T14:48:25Z,2025-03-18T18:04:03Z,,"bug, P1, cs"
5097,Plotly 6.0.1 not showing the first plot in vscode,open,2025-03-18T04:02:18Z,2025-03-24T15:06:52Z,marthacryan,"bug, P1"
5095,API reference doc build failing,closed,2025-03-17T18:49:48Z,2025-03-21T17:02:28Z,gvwilson,"bug, P1, documentation"
5075,"Hover template for chart with ""base""",open,2025-03-10T08:08:48Z,2025-03-11T14:02:10Z,,"bug, P2"
5069,Plotly 6.0 requires jupyterlab,closed,2025-03-07T08:33:52Z,2025-03-21T19:44:22Z,marthacryan,"bug, P1, regression"
5068,Plotly graphs not showing in html renders,closed,2025-03-07T05:53:01Z,2025-03-18T13:17:17Z,,"bug, P1, regression"
5067,Crash when plotting with labels and WebGL,open,2025-03-06T13:04:20Z,2025-03-07T17:21:28Z,,"bug, P1"
5066,Colorbar is not showing last tick,open,2025-03-06T11:36:48Z,2025-03-10T09:19:24Z,,"bug, P2"
5063,"go.Scattergl with mode=""text"" does not display text in Plotly 6.0.0",open,2025-03-05T09:34:27Z,2025-03-12T18:13:29Z,,"bug, P1, regression"
5060,"In Plotly==6.0.0, the title is not displayed when switching the button.",open,2025-03-02T10:53:02Z,2025-03-27T15:14:28Z,marthacryan,"bug, P1, regression"
5059,`mpl_to_plotly` does not preserve axis labels (bar plots are useless),open,2025-02-28T20:54:24Z,2025-03-03T17:56:53Z,,"bug, P3"
5056,plotly on jupyter creates HUGE notebooks file sizes,open,2025-02-26T08:30:51Z,2025-03-25T18:20:59Z,marthacryan,"bug, P1, performance"
5055,Error with Jinja2 3.1.5 and new Plotly 6.0.0,open,2025-02-25T10:39:49Z,2025-03-05T18:20:28Z,,"bug, P3"
5047,"px.scatter_3d, use case where color param affects size output",open,2025-02-20T14:10:21Z,2025-02-21T01:53:36Z,,"bug, P2"
5046,"Error Received value: 'rgba(255, 153, 51, np.float64(1.0))' when using cufflinks to make figures after upgrading python to 3.13.2 and plotly to 6.0.0",open,2025-02-20T02:56:09Z,2025-02-20T22:57:38Z,,"bug, P2, regression"
5045,Plotly 6.0.0 with Flask app no longer displays plot data with base 64 encoding,closed,2025-02-19T03:36:38Z,2025-02-21T00:26:20Z,marthacryan,"bug, P1, regression"
5041,Release builds in CI not installing dependencies and not recognising [express] extra,closed,2025-02-17T21:16:33Z,2025-02-18T22:16:47Z,marthacryan,"bug, P1, infrastructure"
5039,TypeError: When using orjson and serializing pandas.NA,closed,2025-02-16T14:53:53Z,2025-02-18T20:49:47Z,marthacryan,"bug, P1"
5038,Bug Report: strange behavior with `Scattergl` and slider,open,2025-02-14T15:52:05Z,2025-02-14T16:15:49Z,,"bug, P2, cs"
5034,to_html produces js which doesn't pass eslint-config-standard,open,2025-02-13T14:07:35Z,2025-02-13T14:11:21Z,,"bug, P3"
5032,axis label change via updatemenus not working anymore in 6.0.0,open,2025-02-13T10:35:16Z,2025-02-13T14:10:45Z,,"bug, P1"
5028,erratic result from colorscale validator test,open,2025-02-11T15:05:54Z,2025-02-11T15:06:02Z,gvwilson,"bug, P2, testing"
5027,`FigureWidget` fails with `anywidget` in v6.0.0,open,2025-02-11T10:19:23Z,2025-03-20T21:30:05Z,marthacryan,"bug, P1"
5026,Plotly chart selection not working with non-scatter plot charts.,open,2025-02-11T08:47:04Z,2025-02-11T13:40:22Z,,"bug, P3"
5014,Make PyArrow datetime timezone test pass,closed,2025-02-06T18:35:31Z,2025-02-07T01:35:12Z,gvwilson,"bug, P1, testing"
5007,offsetgroup with horizontally stacked/relative bar traces,open,2025-02-03T11:48:59Z,2025-03-10T08:10:24Z,,"bug, P2"
5006,Color of Contour lines in Surfaces with colormap are not correctly set,open,2025-02-02T18:16:15Z,2025-02-03T15:48:16Z,,"bug, P3"
4998,6.0.0 vs. 5.24.1 → go.FigureWidget → same syntax broken output in JN 7.3.2,open,2025-01-29T21:44:35Z,2025-03-20T03:31:42Z,,"bug, P2"
4997,DeprecationWarning scattermapbox unrelated trigger,closed,2025-01-29T21:12:35Z,2025-03-13T14:22:57Z,emilykl,"bug, P1"
4996,"6.0.0 release issue for Shiny for Python apps: ""Please install anywidget to use the FigureWidget class""",open,2025-01-29T12:58:08Z,2025-02-11T10:20:52Z,marthacryan,"bug, P1, documentation"
4974,add_vline fails with datetime64[ns],open,2025-01-21T08:30:08Z,2025-01-23T20:21:17Z,,"bug, P2"
4965,Performance issue - add_vlines,open,2025-01-14T14:55:31Z,2025-02-09T15:30:10Z,,"bug, P2, performance"
4961,Bug: Exceptions thrown following User Interaction with Annotations on a time axis,open,2025-01-14T00:17:41Z,2025-02-06T19:45:15Z,,"bug, P2"
4960,figure not rendered in jupyter notebook with default renderer,open,2025-01-13T15:59:17Z,2025-01-15T13:57:34Z,,"bug, P2"
4959,Sphinx gallery scraper is not parallel-safe,open,2025-01-09T18:32:14Z,2025-01-09T21:03:07Z,gvwilson,"bug, P2"
4957,`plotly.colors.validate_colors` fails for valid colors and passes for invalid colors,open,2025-01-08T19:23:25Z,2025-01-13T12:27:27Z,,"bug, P2"
4955,Can't export static image,open,2025-01-06T15:19:29Z,2025-02-13T21:17:57Z,emilykl,"bug, P2"
4953,"Plots not shown in HTML export for ""vscode+notebook"" renderer",open,2024-12-26T20:10:45Z,2025-04-04T07:35:06Z,marthacryan,"bug, P1"
4947,issue with link in label,open,2024-12-18T17:03:55Z,2024-12-19T14:31:36Z,,"bug, P3"
4946,"`groupclick=""toggleitem""` Does Not Work Consistently Across Subplots in Plotly",open,2024-12-18T16:05:26Z,2024-12-19T14:30:22Z,,"bug, P3"
4942,Map doesn't recenter after interac with the graph on mobile,open,2024-12-13T17:54:44Z,2024-12-16T18:49:29Z,,"bug, P3"
4941,go.Bar zorder parameter ignored on Chart Studio,open,2024-12-12T11:10:19Z,2024-12-12T13:50:46Z,,"bug, P3"
4940,Update_yaxes mirror not working,open,2024-12-11T09:01:52Z,2024-12-12T13:50:13Z,,"bug, P3"
4933,Erratic behavior when working with multiple FigureWidget instances (after adoption of anywidget?),closed,2024-12-07T20:46:24Z,2025-02-21T15:50:15Z,marthacryan,"bug, P1"
4925,Invalid value of type 'builtins.dict'  error when copying figure in 6.0.0rc0,closed,2024-12-03T19:22:03Z,2024-12-09T19:07:41Z,marthacryan,"bug, P1"
4923,"`fig.add_vline` on date axis fails with date, timestamp and string as `x` value",open,2024-12-03T13:32:03Z,2024-12-19T10:46:45Z,,"bug, P3"
4919,Exception raised with empty dataframe in v6.0.0rc0,closed,2024-11-29T23:46:17Z,2024-12-03T20:47:15Z,emilykl,"bug, P1"
4917,plotly.express.scattermatrix displays no color if supplied a pandas.DataFrame with a DataTime index,closed,2024-11-28T16:17:25Z,2024-12-05T21:57:13Z,emilykl,"bug, P1"
4913,Plotly express process_dataframe_timeline expects datetime as strings,closed,2024-11-28T13:29:14Z,2024-12-05T22:02:12Z,emilykl,"bug, P1"
4912,layout image is not rendered when two scatter traces have different zorders,open,2024-11-28T00:12:36Z,2025-02-05T21:47:15Z,,"bug, P3"
4904,`fig.update_traces(xaxis=..)` will destroy `hline` or `vline` objects on subplots,open,2024-11-26T20:17:49Z,2024-12-03T14:22:32Z,,"bug, P3"
4899,Plolty graph not showing up in JupyterLab 4.3.1 on MacBook,open,2024-11-22T08:37:42Z,2025-03-07T05:45:00Z,,"bug, P3"
4896,cannot hide all shape entries in a group by its legend,open,2024-11-21T15:45:01Z,2024-11-30T03:28:58Z,,"bug, P3"
4885,Exception caused when using `plotly.express.timeline` when `kaleido` is installed,open,2024-11-18T02:30:33Z,2024-11-18T16:35:51Z,,"bug, P2"
4882,Incorrect legend style with x unify hovermode,open,2024-11-15T08:56:21Z,2024-11-15T15:03:18Z,,"bug, P3"
4879,Add `scattermap` and `map` to plotly.py templates similar to `scattermapbox` and `mapbox`,closed,2024-11-14T16:38:21Z,2024-11-22T21:42:14Z,archmoj,"bug, P1"
4875,Setting `category_orders` leads to missing data (master branch),closed,2024-11-13T17:59:16Z,2024-11-14T17:46:00Z,,"bug, P1"
4872,constraining axes leads to paper coordinates being off and to extra space between plot area and annotations,open,2024-11-13T03:29:44Z,2024-11-13T15:00:38Z,,"bug, P2"
4863,Some charts rendering differently on master branch vs Plotly.py 5.24.1,closed,2024-11-12T15:24:46Z,2024-11-18T17:22:52Z,emilykl,"bug, P1"
4858,Textangle breaks when the figure size changes.,open,2024-11-10T13:57:16Z,2024-11-11T15:16:43Z,,"bug, P2"
4854,FigureWidget.show() returns a Figure instead of a FigureWidget,closed,2024-11-07T20:31:49Z,2024-11-13T15:45:27Z,,"bug, P2"
4853,Chart studio tests don't run in the CI,closed,2024-11-07T16:44:27Z,2025-01-30T17:34:43Z,,"bug, P2, testing"
4846,`plotly.express.imshow` blurry when exported to pdf,open,2024-11-02T15:21:26Z,2024-11-05T21:07:13Z,,"bug, P2"
4845,Certain renderers not working on master branch,open,2024-11-01T21:02:55Z,2024-11-05T21:06:58Z,marthacryan,"bug, P2"
4841,non-pandas (e.g. Polars) plot raises if an argument contains a mix of column names and Series,closed,2024-10-29T10:37:29Z,2024-11-13T17:06:49Z,emilykl,"bug, P1"
4838,"fig.update_layout(xaxis_type=""category"") breaks make_subplots(shared_xaxes=True)",open,2024-10-28T11:43:50Z,2024-10-28T19:20:56Z,,"bug, P2"
4837,plotly with pandas>=3.0 fails to raise name conflict error,closed,2024-10-28T09:47:23Z,2024-11-13T17:07:18Z,emilykl,"bug, P2"
4828,Plotly figures are cropped in sphinx-gallery examples,open,2024-10-24T14:31:53Z,2025-02-07T15:01:26Z,,"bug, P2"
4827,Automatically set correct renderer for Plotly charts in VSCode Notebooks,open,2024-10-24T13:53:42Z,2024-11-28T16:46:11Z,,"bug, P2"
4810,fix or disable failing percy tests,open,2024-10-21T15:47:57Z,2024-10-22T13:55:44Z,gvwilson,"bug, P2, testing"
4808,"Colorscales in templates are not valid list of lists, which breaks `plotly.colors.sample_colorscale`",open,2024-10-17T20:16:20Z,2024-10-18T14:40:23Z,,"bug, P3"
4806,plotly doesn't render html for data with long descriptions,open,2024-10-17T12:54:12Z,2024-10-22T19:27:29Z,,"bug, P3"
4802,empty splom in case of two dimensions,open,2024-10-15T14:35:28Z,2024-10-15T16:01:12Z,,"bug, P3"
4801,Hover data not showing correctly for px.scatter inside go.FigureWidget,open,2024-10-15T12:33:21Z,2024-10-15T15:22:03Z,,"bug, P3"
4798,Erratic zooming behavior with `scrollZoom` when changing margins or adding axis labels,open,2024-10-12T21:46:04Z,2024-10-15T15:21:01Z,,"bug, P3"
4796,"slider changes don't trigger axes (x, y, colorbar) adjustments",open,2024-10-11T17:12:13Z,2024-11-28T16:07:07Z,,"bug, sev-3, P2, cs"
4794,facet_row_spacing modified in a callback for px.imshow changes the figure dict but not the plot,closed,2024-10-11T16:06:57Z,2024-11-26T19:12:27Z,marthacryan,"bug, sev-3, P2"
4792,Remove `heatmapgl` and `pointcloud` traces in Plotly.py,closed,2024-10-10T14:02:35Z,2024-10-22T15:08:08Z,archmoj,"bug, P1"
4788,Using a `DataFrame` with a scrambled index and `color` in `px.scatter_matrix()` yields mismatched/null colors,closed,2024-10-08T17:50:33Z,2024-12-05T21:57:13Z,,"bug, P3"
4787,SI prefixes don't display Peta (P) correctly,open,2024-10-08T16:01:23Z,2024-10-24T11:53:34Z,,"bug, P3"
4775,Scattermap Class doesn't render,closed,2024-10-01T18:43:18Z,2024-10-24T13:54:10Z,marthacryan,"bug, P2"
4773,Typo in documentation,closed,2024-10-01T01:23:45Z,2024-10-01T19:59:55Z,LiamConnors,"bug, P2, documentation"
4768,Slider in `scatter_3d` and `scatter` makes some data points go missing,open,2024-09-16T22:47:43Z,2024-10-02T17:12:19Z,,"bug, P3"
4761,treemap AttributeError: 'DataFrame' object has no attribute 'append',open,2024-09-11T14:58:06Z,2024-12-01T13:42:36Z,,"bug, P2"
4760,Some marker symbols cant be drawn.,open,2024-09-11T09:35:00Z,2024-09-12T11:52:58Z,,"bug, P3"
4759,Mesh3d ignores lighting with orthographic projection ,open,2024-09-11T07:25:03Z,2024-09-11T19:11:14Z,,"bug, P3"
4754,bug in Infinite Scroll - column wrapText has no effect,open,2024-09-09T06:55:22Z,2024-09-09T17:40:44Z,,"bug, P3"
4752,"No version of module jupyterlab-plotly is registered (Win 11 64 bit, VS Code)",open,2024-09-08T06:17:54Z,2024-09-09T17:42:01Z,archmoj,"bug, P2"
4751,empty fig using new px.choropleth_map (even with code example),closed,2024-09-06T23:36:42Z,2024-09-10T17:39:08Z,,"bug, P2"
4746,Property `zorder` cannot be updated on Scattergl traces.,closed,2024-08-30T17:26:59Z,2024-10-03T14:44:17Z,archmoj,"bug, P3"
4745,Building wheel package fails with JS dependency error,closed,2024-08-30T17:14:00Z,2024-11-25T13:52:25Z,LiamConnors,"bug, P1"
4742,add_vline fails in batch mode,open,2024-08-30T14:22:00Z,2024-10-02T17:16:37Z,,"bug, P3"
4741,Certain fonts contain weights and widths excluded by the Validator,open,2024-08-30T11:01:24Z,2024-09-03T18:56:23Z,,"bug, P3"
4729,Parallel Coordinates Plot is not working.,closed,2024-08-27T12:30:14Z,2024-08-30T09:39:34Z,,"bug, P2"
4723,Possible bug in Plotly (python) when dragging and dropping shapes in scatter plots,open,2024-08-23T13:01:12Z,2024-08-26T15:17:29Z,,"bug, P3"
4722,Plotly scraper not working with sphinx-gallery,open,2024-08-21T14:29:46Z,2024-08-27T14:40:46Z,,"bug, P3"
4720,"When only one value is set for `xaxis.range`, the other value becomes invalid.",open,2024-08-19T03:55:27Z,2025-01-09T08:06:13Z,,"bug, P3"
4716,Passing color as tuple not working as expected,open,2024-08-14T04:30:26Z,2024-08-16T13:29:46Z,,"bug, P3"
4715,Subtitle does not render following example from docs,closed,2024-08-13T20:51:37Z,2024-10-24T13:55:04Z,emilykl,"bug, P2"
4713,Bar plot hover shows incorrect bar length when base is used,open,2024-08-08T12:01:20Z,2024-08-20T15:03:27Z,,"bug, P3"
4712,Multi values graph do not share same ZERO,open,2024-08-08T10:36:50Z,2025-03-13T00:00:14Z,,"bug, P3"
4710, Indicator domain doesn't work in make_subplots(),open,2024-08-07T17:36:35Z,2024-08-13T13:28:11Z,,"bug, P3"
4705,fig.add_vrect() items do not hide when clicking on grouped legend if showlegend=False,open,2024-08-04T19:42:19Z,2025-02-11T12:08:23Z,,"bug, P3"
4687,Scatter3d.on_click doesn't receive InputDeviceState object,open,2024-07-23T07:08:18Z,2024-08-13T13:26:02Z,,"bug, P3"
4686,"textposition=""auto"" doesn't show texts for 0 values",open,2024-07-23T04:31:36Z,2024-08-13T13:25:58Z,,"bug, P3"
4678,different behavior for `.show()` and `.write_image()` with `ticksuffix`/`tickprefix`,open,2024-07-18T14:30:13Z,2024-08-13T13:25:16Z,,"bug, P2"
4674,missing tick in chart with rangebreaks,open,2024-07-17T15:06:00Z,2024-10-03T12:54:52Z,,"bug, P2, cs"
4670,Legend not fully displayed in SVG,open,2024-07-17T12:04:36Z,2024-08-13T13:24:24Z,,"bug, P3"
4669,marginal-distribution subplots include overall-trendline,open,2024-07-17T07:32:29Z,2024-08-13T13:24:20Z,,"bug, P3"
4665,Empty toggle attribution button,open,2024-07-15T11:39:56Z,2024-08-13T13:23:53Z,archmoj,"bug, sev-3, P3"
4664,Transparent markers misbehaving in plotly.express.scatter,open,2024-07-15T08:17:16Z,2024-08-13T13:23:26Z,,"bug, P3"
4662,Link to license broken,open,2024-07-12T15:03:19Z,2024-11-20T17:43:37Z,gvwilson,"bug, P2"
4660,"Choropleth maps only render the first feature with a matching featureidkey, not all matching features",open,2024-07-11T00:06:34Z,2024-08-13T13:22:25Z,,"bug, P3"
4655,px.line erratic and wrong for large x value ranges,open,2024-07-05T15:54:53Z,2024-08-13T13:21:51Z,,"bug, P3"
4652,Scattermapbox figure doesn't render correct bounds in my dash app,open,2024-07-01T20:28:21Z,2024-08-13T13:21:05Z,,"bug, P3"
4650,Jupyterlab additional view is not updated,open,2024-06-30T10:35:07Z,2024-08-13T13:20:06Z,,"bug, P3"
4649,`plotly.graph_objects.Scatter` property `fillgradient` does not plot gradients with v5.22.0 in python,open,2024-06-28T17:22:26Z,2024-09-13T22:56:54Z,,"bug, P3"
4646,Sunburst graph open in Firefox but not Chrome (at least in Windows),open,2024-06-24T09:26:56Z,2024-08-13T13:18:08Z,,"bug, P3"
4645,Shape Layer example not working for layer='between' and yref='y domain',open,2024-06-20T17:21:42Z,2024-08-13T13:18:03Z,,"bug, P3"
4643,Updating `xaxis_range` changes y-axis range for `px.scatter` when marginals are displayed.,open,2024-06-19T01:57:24Z,2024-08-13T13:17:40Z,,"bug, P3"
4637,No module named `tenacity.asyncio`,open,2024-06-17T13:17:49Z,2024-08-13T13:16:46Z,,"bug, P3"
4632,figure_factory create_hexbin_mapbox ignored agg_func,open,2024-06-11T14:06:13Z,2024-08-12T13:40:55Z,,"bug, sev-4, P3"
4631,"imshow does not respect plot height, width in combination with binary_string = True",closed,2024-06-08T20:57:49Z,2024-07-12T00:05:23Z,,"bug, sev-3"
4619,Full build failing,closed,2024-05-30T20:25:58Z,2024-06-10T18:32:52Z,,bug
4611,`px.timeline` with a Daylight Savings Time scenario - missing/extra hour,open,2024-05-14T14:32:43Z,2024-08-12T13:40:54Z,,"bug, sev-3, P3"
4603,Hoversubplots=axis not working with make_subplots,open,2024-05-06T14:40:29Z,2025-01-17T14:02:53Z,,"bug, sev-3, P3"
4588,Adding secondary-y latex legend name shifts x-axis coordinates,open,2024-04-25T10:05:44Z,2024-08-13T13:14:05Z,,"bug, sev-3, P3"
4586,weird behavior of hover text for surfacecolor ,open,2024-04-23T03:59:23Z,2024-08-13T13:13:58Z,,"bug, sev-3, P3"
4580,Opacity and color not working together in px.scatter,open,2024-04-18T23:02:44Z,2024-08-12T13:40:52Z,,"bug, sev-3, P3"
4578,Plotly legends cutoff in Quarto Dashboards,open,2024-04-18T19:44:08Z,2024-08-13T13:13:29Z,,"bug, P3"
4568,`Legendrank` does not work in plotly (pyscript) when `fill` argument is used,open,2024-04-10T09:14:12Z,2024-08-12T13:40:51Z,,"bug, sev-3, P3"
4565,tickmode='sync' option is not working as expected,open,2024-04-02T16:25:17Z,2024-08-13T13:13:10Z,,"bug, P3"
4564,The color of Scattergl points are missing when using animation,open,2024-04-01T12:14:32Z,2024-08-12T13:41:20Z,,"bug, sev-3, P3"
4563,px.strip jitter doesn't work as expected due to underlying go.Box config,open,2024-03-31T17:32:07Z,2024-08-12T13:41:20Z,archmoj,"bug, sev-3, P3"
4556,Scattergl points disappear when reaching a certain threshold in size difference,open,2024-03-22T09:41:31Z,2024-08-12T13:41:20Z,,"bug, sev-2, P3"
4553,Inconsistent row and col parameters used to add vline to faceted subplots,open,2024-03-20T08:38:10Z,2024-09-17T17:45:00Z,,"bug, sev-2, P3"
4548,Static image excludes layout_images if source is not absolute path,open,2024-03-14T13:07:56Z,2024-08-13T13:11:39Z,,"bug, P3"
4507,go.Scatter3d doesn't display a given tensor,open,2024-02-06T16:07:02Z,2024-08-13T13:08:34Z,,"bug, sev-2, P3"
4505,FutureWarning in _core.py,closed,2024-02-02T22:31:18Z,2024-11-26T14:25:39Z,,"bug, P3"
4502,"Button with method ""update"" does not work as intended",open,2024-02-02T08:46:29Z,2024-08-12T13:41:16Z,,"bug, sev-2, P3"
4501,imshow() animation_frame behaves incorrectly with binary_string = True ,open,2024-02-02T04:46:42Z,2024-08-13T13:08:01Z,,"bug, P3"
4494,Unify hovertemplate title cannot be edited.,open,2024-01-24T09:18:58Z,2024-08-12T13:41:15Z,,"bug, sev-3, P3"
4493,loop to direct links (and reverse) transformation after node drag-and-drop in Sankey diagram,open,2024-01-23T05:37:30Z,2024-08-13T13:06:39Z,,"bug, sev-2, P3"
4465,go.Histogram2dContour does not normalize when using shared coloraxis and coloring='fill',open,2023-12-17T16:49:59Z,2024-08-12T13:41:14Z,,"bug, sev-2, P3"
4463,Mapbox Standard Map Style Not Showing,open,2023-12-17T03:14:38Z,2024-08-13T13:05:13Z,,"bug, P3"
4462,Error on shape editing with `dcc.Graph`: Invalid property specified for object of type plotly.graph_objs.layout.shape.label: 'texttemplate',open,2023-12-15T18:34:32Z,2024-08-12T13:41:13Z,,"bug, sev-2, P3"
4460,The ayref annotation should support the `paper` value,closed,2023-12-15T14:42:36Z,2024-01-11T21:16:16Z,,"bug, sev-2, P3"
4455,y axis labels does not appear in scatter plot when using plotly.express with 2 inputs,closed,2023-12-08T18:51:24Z,2024-01-18T21:25:16Z,,"bug, sev-2"
4454,`to_image` documentation incorrect,open,2023-12-08T04:10:18Z,2024-08-12T21:10:37Z,LiamConnors,"bug, P3, documentation"
4452,"Axis labels are not shown for all subplots when using plotly express, facets and string labels",open,2023-12-06T20:07:23Z,2024-08-12T21:10:28Z,,"bug, P3"
4443,Inconsistent error message and documentation on px.histogram parameter nbins,open,2023-11-28T13:37:37Z,2024-08-12T21:10:06Z,LiamConnors,"bug, P3"
4438,Order of marginal wrong when using facet_col and setting traces to invisible by default,open,2023-11-22T14:36:44Z,2024-08-12T21:09:49Z,,"bug, P3"
4433,Plotly Express Key Error With Filtered Categorical Variables in Dataframe,closed,2023-11-17T21:09:38Z,2023-11-22T19:51:17Z,,"bug, sev-3"
4432,add_hline and add_vline show random diagonal line when passed np.nan,open,2023-11-17T11:31:39Z,2024-08-12T21:09:43Z,,"bug, sev-4, P3"
4431,FigureWidget + go.Image.source breaks notebook kernel in VSCode,open,2023-11-17T11:08:14Z,2024-08-12T21:09:37Z,,"bug, P3"
4426,Normalized Histogram with Marginal producing the wrong plot,open,2023-11-16T10:33:58Z,2024-08-12T13:41:41Z,,"bug, sev-4, P3"
4423,On_selection event in faceted plot only works correctly in first facet,open,2023-11-14T19:40:14Z,2024-08-12T21:09:11Z,,"bug, P3"
4421,`config = {responsive: False}` does not work as expected in jupyter lab,open,2023-11-13T18:05:22Z,2024-08-12T21:09:06Z,marthacryan,"bug, P2"
4418,Sunburst plot not rendering without any error or warning message,open,2023-11-10T17:59:44Z,2024-08-12T21:08:33Z,,"bug, P3"
4416,Bar plot has bad additive color algebra when opacity<1,open,2023-11-08T14:46:14Z,2024-08-12T21:08:29Z,,"bug, P3"
4415,Empty Facets on partially filled MultiIndex DataFrame with datetime.date in bar plot,open,2023-11-06T13:59:49Z,2024-08-12T13:41:39Z,,"bug, sev-2, P3"
4401,Warn about `write_image` hanging with latest Kaleido ,closed,2023-10-26T13:57:14Z,2024-10-25T14:10:39Z,,"bug, sev-3"
4387,"`px.scatter(df, ..., render_mode=""webgl"")` fails when color column contains all `NaN`",open,2023-10-18T22:40:15Z,2024-08-12T21:08:03Z,,"bug, P3"
4382,`plotly.graph_objects.scatter3d.Marker` color incorrect HSV/HSL interpretation,open,2023-10-13T07:43:39Z,2024-08-12T21:07:58Z,,"bug, P3"
4380,setting up a development environment is difficult,open,2023-10-11T12:41:21Z,2024-08-12T21:07:53Z,,"bug, P2, infrastructure"
4377,color_continuous_scale incompatible with marginal distributions in density_heatmap,open,2023-10-06T13:24:19Z,2024-08-12T13:41:37Z,,"bug, sev-2, P3"
